query,Post ID,Post Content,nickname,link
污染; 2018-02-20; 1; 25,11,"		【孩子吃水果不能代替蔬菜】很多宝宝爱吃水果,但不爱吃蔬菜,但水果不能代替蔬菜.蔬菜比一般水果含矿物盐(如钙磷钾等)多;鲜菜含维生素C,胡萝卜素等维生素也要比水果多若干倍.蔬菜的膳食纤维也比水果多.多吃蔬菜还可防便秘,并有防癌作用.多吃新鲜绿色无污染的蔬菜,吃出健康好宝宝。 ​		",杨七七8196120,//weibo.com/6248042425/G3WCUhnmE?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,12,		【关岛】关岛，美国最西边的领土，是“美国一天开始的地方”，更被誉为“免税购物的天堂”。乘巴士环游，感受浪漫小资情调，岛上风光绮旎，整个关岛散发出温馨迷人的景致。由于当#中国赞#地政府对海洋生态的保育工作非常重视，海水蔚蓝清澈，鱼类品种繁多，是一个未经污染的度假胜地。 ​		,Cora_幻巛竹,//weibo.com/1817330650/G3WCR1hFB?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,13,		而对普通的污染，好像500+以下的那部分，已经没感觉了。所以，每次当最严重的那部分污染被清理出去的时候，就很高兴地以为，自己很健康了。然后，随着禅修的持续，看到清理也在继续进行，也才看到，原来身体里面，还有那么多的污染，需要清理。（2） ​		,你躺枪吧的精彩,//weibo.com/6443614887/G3WCL4RIj?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,14,"		今日天气:，南宁:小雨,，9°C~13°C,，东北风，≤3级，空气指数:2.0,有利于空气污染物稀释、扩散和清除，可在室外正常活动。，穿衣指数:5.0,夹衣、风衣，紫外线指数:1.0,紫外线弱爆了，洗车指数:1.0,不宜，vivo天气 ​		",乔安娜甜美系的鹿迷妹,//weibo.com/6415931001/G3WCEyrkV?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,15,		【长兴岛】长兴岛采金桔吧!长兴岛作为江下游的美丽的小岛，素有“橘乡”、“净岛”、“长寿岛”美称，它三面临江，一面临海，风景#中国赞#迷人，更有着独特的气候，岛上物产丰富，远离外界污染，空气清新，且游客不过，是上海周边休闲度假的好去处。 ​		,全球热门--语丷录,//weibo.com/2711512144/G3WCudnmh?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,16,		张亚军666每天当你走进办公室，很多因素在影响着每一个人的情绪，进而影响到工作的质量。我们称之为“办公室心理污染”，现代社会，在人们面临各种压力的今天，它愈来愈成为不可忽视的问题。 ​		,鳳舞九天RK,//weibo.com/2610351490/G3WCfs4xq?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,17,		2月20日，星期二，农历正月初五1、工信部：2018年将进一步督促电信企业落实降低流量资费等措施，流量会逐步降到“白菜价”，2年内可携号转网；2、我国将从2018年7月1日起实施更严格的船舶污染物排放标准；3、沙特允许女性在未获得男性监护人同意情况下创业；4、四川雅江森林火灾原因初步查明，嫌疑 ​			...展开全文c,上饶华公那些事,//weibo.com/6451573437/G3WC5qvdN?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,18,"		2月20日，扩散条件较好，预计，鲁西南以轻度污染为主，半岛，鲁南以优良为主，其他地区以良为主,，首要污染物为PM10。		",山东环境,//weibo.com/3354394424/G3ujagEBw?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,19,	  【山东：发布环境空气质量形势预报】 污染过程提示：2月17日～2月19日，湿度较大，扩散条件较不利，我省中西部城市会有一次中至重度污染过程。请注意出行安全并注意防护。 http://t.cn/RRmIUyz ​	,NA,//weibo.com/3354394424/G3WC2uzf1?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,20,早上好  今天是2018年2月20日 狗年正月初五，星期二济南：			...展开全文c,历下交警一级岗组,//weibo.com/2679147207/G3WC0oWBo?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,21,		在干燥的冬季#中国赞#让自己干燥的皮肤喝足水分那是非常必要的，创意网这里介绍的一款加湿器不仅可以让自己的皮肤保湿，它本身的设计也非常有创意且环保，产品本身是不带水箱的，当应用的时候用户可以将废弃的矿泉水瓶子用来当着水箱，这样在减少对环境污染的同时还可以废物再利用，一举多得的好设计。 ​		,圣基路乄伯,//weibo.com/2059017922/G3WBZfvq1?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,22,		敷脸收缩毛孔……都应该进行彻底的清洗洁面！所以每天外出归来和早晚。然后再用凉水！可以同时涂上爽肤水……清洗里面的污垢：这样可以扩大毛孔、污染越来越严重。可以用热毛巾清洗一遍！ ​		,阿诺遇见炀炀,//weibo.com/3966897968/G3WBRcSpl?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,23,		浅议烟花爆竹的文化作用#烟花爆竹# 古代，人们信息蔽塞，文化娱乐活动缺乏。逢年过节一放烟花爆竹，响亮响亮，去除一年的沉闷气息。现代社会，人们快节奏生活，信息畅通，文化生活多姿多彩，反而希望逢年过节安静下来，平静的度过一个节日。烟花爆竹起了相反的作用。况且，对环境污染也很大。烟花爆竹 ​			...展开全文c,love四颗石头,//weibo.com/1692701890/G3WBqlNel?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,24,"		使肌肤美白柔嫩……你可以使用含绿茶成分的保养品,也可以每天坚持喝绿茶饮品,都可达到排毒美颜甚至瘦身的功效、【绿茶排毒美颜】绿茶中含有维生素E和C,能显著减少活性氧的产生,加速细胞的新陈代谢,减少因紫外光线及污染而产生的游离基,防止毒素袭侵肌肤细胞并有效杀菌排毒 http://t.cn/ROBjKDB ​		",夏天算什么风啊,//weibo.com/2755327791/G3WBq5cBs?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,25,		不化妆也要擦隔离很多人只有在化妆的时候才会想起隔离霜，其实隔离霜的作用就是将皮肤和外界隔离的护肤品，使皮肤免受环境以及辐射的污染，因此，即便在不化妆的时ZOC643候也要擦隔离霜，给皮肤上一层保护膜。 ​		,杠杠条条,//weibo.com/6435074032/G3WBkqZjm?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,26,		北京今日天气：白天多云，夜间晴，气温-5~5度，空气质量指数127（轻度污染）。#北京天气# ​		,迦南之约教堂婚礼策划,//weibo.com/1798289865/G3WAZsz71?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,27,		早安，北京2018年2月20日  【看#北京空气质量#，用#蔚蓝地图#，#一目了然#】   #每日一问#：“2018年除夕夜，京津冀、汾渭平原、成渝污染知多少？”#邻居张大妈弱弱地问# ​		,邹毅的邹,//weibo.com/1000481815/G3WAWuaou?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,28,		【千万注意：七个坏习惯加快衰老】1、轻易发怒会令人产生皱纹。2、疲于奔命令面容憔悴。3、暴肥暴瘦令皮肤失去弹性松弛，甚至产生皱纹。4、吸烟令皮肤变黄变灰。5、大量饮酒或经常饮酒，会令皮肤发红肿胀。6、摄入污染食品令人早衰。7、防晒不足伤害皮肤。 ​		,恐慌语素悲凉,//weibo.com/6354677513/G3WARs66t?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,29,		急救手册宠物咬伤怎么办？首先应该立即、就地、彻底冲洗伤口。可先将伤口挤压出血，并用浓肥皂水反复冲洗伤CDU362口，再用大量清水冲洗，擦干后用5%碘酒烧灼伤口，以清除或杀灭污染伤口的狂犬病毒，冲洗伤口半小时后要到医院寻求医生帮助，其次眷注射狂犬疫苗。 ​		,保管的幸福时光馥,//weibo.com/6427572699/G3WAJtHxx?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,30,		人生的过程是扔掉垃圾的过程，你不扔掉垃圾会被污染 ​		,天使之死6341868994,//weibo.com/6341868994/G3WAtvQYt?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,31,		//@时间的过客40:又是一年了，污染不断:转发微博		,时间的过客40,//weibo.com/1919976867/G1ilPaxxO?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,32,	  经过多次向山东省环境厅要求，终于拿到答复意见书。结果是钢厂不存在污染居民，关键是肥城环保局替石横特钢出具的无污染事实意见。请看到的朋友积极转发，帮我和村民维权。谢谢 http://t.cn/R2dy0Jr ​	,NA,//weibo.com/1919976867/G3WAsmIV6?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,33,		【卡隆海滩】卡隆海滩位于帕通海滩南，是普吉岛第三大海滩，也是岛上最长的海滩之一。卡隆海滩，不若巴通那般热闹喧哗，倒像是一座海水浴场。无污染的沙质海滩就像一个白色的勺子蜿蜒在海边。沿着海滩是一大片松木林，腹地很宽，游客要不戏水、晒太阳，要不就是坐在躺椅上看书、打盹，惬意至极…… ​		,卿寒丷沐_454,//weibo.com/3036449113/G3WArbPai?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,34,		2月20日7时上海市实时空气质量指数为67，良，首要污染物为PM2.5，建议极少数异常敏感人群应减少户外活动。欲了解更多信息，请登录上海空气质量实时发布系统 http://t.cn/zjwvOJt 。 ​		,上海环境,//weibo.com/1787537264/G3WAjwZvI?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,35,		2月20日7时上海市松江区实时空气质量指数为78，良，首要污染物为PM2.5，极少数异常敏感人群因减少户外活动。欲了解更多信息，请登录上海松江区空气质量实时发布系统。http://t.cn/ROPBwnC ​		,松江环保,//weibo.com/5294595261/G3WA8xrqw?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,36,		02月20日 07时【市区】空气质量指数57，二级，首要污染物可吸入颗粒物，空气良好，适宜户外活动或锻炼。详情见网站【http://t.cn/8snhw1s】 ​		,青岛环境监测,//weibo.com/1166572170/G3WzVfbcb?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,37,		【今早空气质量良，实时指数75】实时空气质量指数75，良，首要污染物为PM2.5。早7时全区PM2.5平均浓度为55微克/立方米，各站点浓度分别为：嘉定天华学院：57，嘉定南翔：55，嘉定方泰：52，嘉定监测站：55。逐小时更新数据请点http://t.cn/RXpTTu2 ​		,嘉定环保在线,//weibo.com/2606426860/G3WzNBNGX?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,38,		【卡隆海滩】卡隆海滩位于帕通海滩南，是普吉岛第三大海滩，也是岛上最长的海滩之一。卡隆海滩，不若巴通那般热闹喧哗，倒像是一座海水浴场。无污染的沙质海滩就像一个白色的勺子蜿蜒在海边。沿着海滩是一大片松木林，腹地很宽，游客要不戏水、晒太阳，要不就是坐在躺椅上看书、打盹，惬意至极…… ​		,胥这举胥议,//weibo.com/6002085994/G3WzIA7cX?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,39,		再有人问你为什么还在北上广 就这么回答他!(分享自@百度文库)再有人问你为什么还在北上广 就这么回 答他! 导语：从 10 月 8 日起，北京连发霾、空气重污染、大雾三道黄色预警，据 说早上拉开窗帘，北京的小伙伴会以为自己瞎了。于是，有人在开窗吸了一口 土...阅读全文请戳右边 http://t.cn/RGO6Ke3 ​		,qqqqqwwttyhtr,//weibo.com/2075677393/G3WzI0TXd?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,40,		地球不可欺，人类伤不起。现如今的地球所发出的一系列悲剧动作就是对人类不爱护地球而作出的反抗！！！大肆砍伐森林，纵火，水污染，空气污染，不环保，到处扔弃垃圾，抢杀动物，破坏生物链···大规模的建筑，挖空地表···人类什么时候才能觉悟！！！ ​		,镜子93915201711,//weibo.com/6414186901/G3WzrsHR4?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,41,#中国赞#【宝宝疫苗接种完毕，应留院观察30分钟左右，若无反应出现再离开】但这不是意味着高枕无忧了，家长还需细心的观察与细致的护理，宝宝接种疫苗后，注意休息，避免剧烈活动，3天内最好不要洗澡；在家注意保护宝宝接种部位，保持清洁，以防污染物进入而引起感染；在家多给宝宝喝开水（除服脊灰糖 ​			...展开全文c,丰崎要麦织,//weibo.com/5330465837/G3Wze805a?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,42,		终有一天，你会静心下来，像个局外人一样看自己的故事，笑着摇摇头。 ​​​​早！中度污染的清晨！ ​		,白云渺渺8808,//weibo.com/5385261213/G3WzddhxL?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,43,		【孕妇吃海鲜是有何忌讳？】1、怀孕早期，螃蟹坚决不能吃。2、海鲜一定要吃熟的，万不可吃生海鲜。3、不要吃受污染（汞污染）的海产品。4、孕妇吃虾后若没有不良反映，如过敏、腹痛，就没有问题。虾钙含量高，孕期适量吃虾或虾皮可以补充钙、锌等微量元素，促进幼儿的生长。 ​		,weiweibtm善镜良,//weibo.com/5921446925/G3Wz0i8Om?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,44,		.//@龙玄玉:意识形态的法衣已经没有了，现在的意识形态是“皇帝的新衣”。能形成共识的，只有一个字~钱//@perder_peso: 这不就是普遍现象么？上头知道也不管，毕竟连着筋，除非动了上头某一个，然后才杀鸡儆猴。//@匿了嘛: 村里的大姓垄断各种行政职位。巧取豪夺，污染环境。无人敢说		,笔尖上的中国,//weibo.com/6079157125/G3T9KiTrz?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,45,	  《雍正王朝》中，当刘八女这样的地方豪强威胁到皇权统治时，结果也是被满门抄斩没收家产，这是电视剧里的事。我朋友去某县挂职科技副县长，回来私下交流说，村级政权的确到了非治理不可的地步，不少村长村支书们都存在问题，举了个例子，有一个经商失败的村混，先是混了团支书，然后村支书，后来又混 ​		...展开全文c,NA,//weibo.com/2805436930/G3WyZ5TUg?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,46,雅诗兰黛红石榴洗面奶125ml～🏻皮肤暗黄推荐这款，去黄提亮，真爱！雅诗兰黛红石榴洁面是专为亚洲女性研制的，适用于所有类型肌肤，神奇的二合一功效，既是洁面乳又是清洁面膜，早上是温和的泡沫洁面乳，晚上升级为深层清洁面膜，轻敷5分钟，即可帮肌肤抵御外界刺激和污染，让 ​			...展开全文c,美丽天使港货代购,//weibo.com/3251766611/G3WyOnNKh?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,47,		预防出生缺陷的10个建议1.服用叶酸补充剂。2.受孕前先咨询医生。3.遗传咨询。4.戒酒。6.避免空气污染。7.降饮食。8.放松。9.病毒检测。10.避免SVX947服用药物。 ​		,阿琪197299,//weibo.com/6434939438/G3WyGsmdb?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,48,		大年初五早上醒来，梦中不断演绎家乡的人和事，真应了那句诗“每逢佳节倍思亲”，虽然家乡已不再是那个熟悉的家乡，物也不是人也非，伴随长大的小溪小河被污染，小路也被水泥掩埋，房子变大变高空间变得让人窒息，炊烟袅袅亦不见，二层小楼不断沿着路边竞相拔地而起，显示富裕生活，乡里乡亲邻里之情不 ​			...展开全文c,Bronze100,//weibo.com/3034419452/G3WyBqztV?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,49,		【大米可#中国赞#能含哪些有害物】镉对健康有不同的影响。通过大米等食物摄取的，属于“长期小剂量”。这种情况带来的危害主要是肾脏和骨骼。除了镉，大米之中还可能存在铅、砷、汞等其他的污染。对于消费者来说，保护自己的可行途径是增加食谱的多样化，减少对单一食物的依赖。 ​		,a_o-u鸟儿,//weibo.com/2962689387/G3WynwNxc?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,50,		预防出生缺陷的10个建议1.服用叶酸补充剂。2.受孕前先咨询医生。3.遗传咨询。4.戒酒。6.避免空气污染。7.降饮食。8.放松。9JLA307.病毒检测。10.避免服用药物。 ​		,可靠的十朱绫子,//weibo.com/6443586987/G3Wym3nPw?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,51,"		【神农溪】神农溪是湖北巴东长江北岸的一条常流性溪流，发源于“华中第一峰”神农架的南坡，由南向北穿行于深山峡谷中，于巫峡口东2000米处汇入长江，全长60公里，是无污染的天然之流，溪水碧澈，一清到底，除""三色泉""外，几乎见不到一缕混水； ​		",随风飘的彩云贝基,//weibo.com/5889454728/G3Wyc3YPc?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,52,#MIUI天气#天津今天6° / -2°，阴，中度污染 ​		,赵咏86,//weibo.com/6472812145/G3Wy2fRGg?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,53,		10种植物有助消除室内空气污染雾霾天不断，室内空气也跟着遭殃，不仅如此，装修、化学清洁剂等还会向空气释放有害物质。此时，不妨在家里多摆放些绿植，能帮一些小忙。LYK2361.常青藤 2.白鹤芋 3.散尾葵 4.菊花 5.虎尾兰 6.吊兰 7. 芦荟 8.富贵竹 9.绿萝 10.滴水观音。 ​		,兔纸爱次毒蘑菇,//weibo.com/6434927281/G3WxKtKj8?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,54,#喜迎新春##今日贴纸打卡# 春节的早上好！今天是2018年2月20日 星期二，农历正月初五。天津地区 阴转晴 西南风4-5级 最高气温6度，最低-2度。当前室外温度0度，多云 东北风 2级，空气质量 中度污染， 主要污染物 pm2.5 180 pm10 100（全国581个城市排名第487位）日出06：58，日落17：53，体感温度- ​			...展开全文c,鼠啦啦,//weibo.com/1768248871/G3WxBoAgX?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,55,		【三个好习惯帮助远离肺癌】肺癌与吸烟、大气污染、职业因素、肺部慢性疾病、遗传及免疫力等因素有关。从以下三个方面，改变生活方式，有助预防肺癌的发生：①戒烟：②对“油烟”保持警惕：一定要保持厨房通风③增加食物中蔬菜、水果的摄入量。 ​		,思惟震怒凑整,//weibo.com/6135262308/G3WxwD0K7?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,56,		【开窗换气的最佳时间】一般来说，每天上午和下午应各开窗通风1次，每次不少于半小时。专家认为，上午9～11时、下午2～4时是开窗换气的最佳时间，因为这两个时间段内空气质量最好。另外，厨房是室内空气污染的重要来源，在做饭时要开启排气扇或抽油烟机，以及时排除有害气体。 ​		,人人共享艾灸馆,//weibo.com/5081594666/G3Wxriqlp?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,57,		安亭新镇从吴淞江、环城河到居住街坊形成三重围合与颖奕高尔夫球场、汽车博览公园隔江相望。城镇内种乔灌木和草木类植，每一种植物又是针对吸引鸟种而种植的，力求达到低污染的自然环境。次生的湖泊总面积达到万平方米形成怡美自然、天人和谐的亲水型居住环境。 ​		,何必把誓言说的太过分,//weibo.com/3984852399/G3Wxnst7P?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,58,		【车内空气成购车重点考虑因素】车内的空气质量和车内污染问题近年来受到各界严重关注，而对其存在的普遍性以及危害普通大众也有了基本的认知。在近日召开的第二届车内环境发展论坛上，国家环保部相关负责人表示，车内空气质量标准是国家环保部重点修订的标准，目前标准修订工作正在进行中。 ​		,发慌仿佛落莫恼,//weibo.com/6120382667/G3WxmyBUe?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,59,		20180220今天小雨，空气质量轻度污染，pm2.5为118，东北风3级，气温2-10。今天正月初五，为“破穷日”、“破无”，民间又称今日为财神日，勤早请财神，凌晨十二点一过鞭炮声就此起彼伏也。今日正月初五，财神就是父母。陪伴犹如香火，孝老尊老幸福。兢兢业业人富，和和美美全福！ ​			...展开全文c,乐侠002,//weibo.com/5252477189/G3Wx6nlIG?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,60,		今日乐至天气：2018年2月20日，星期二，农历大年初五️【天气】多云(7℃~15℃) 【PM2.5值】170（中度污染）思涵每日赠言：过去，我们用工具锻炼肌肉；如今，我们用工具武装头脑。 http://t.cn/RRDKLaG ​		,创业暖洋洋8,//weibo.com/212014658/G3WwV7MHs?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,61,		每个人出生都是一张毫无污染的白纸 ​		,用户6421061218,//weibo.com/6421061218/G3WwTmrxb?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,62,"【天气预报】今天2月20日星期二，阴历正月初五，温度5/-6℃，阴转晴，东北风，湿度93%,空气质量中度污染【心语】心经中的观，是认识自己，认识众生，从烦恼执着中摆脱束缚，摆脱成见，摆脱那些自以为是，摆脱妄想。观与照互相呼应，不悲不恼，不纠不缠，水月相应，清凉自在。有时 ​			...展开全文c",学智海,//weibo.com/2480914191/G3WwNqwwj?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,63,#空气污染气象条件公报#【2月20日08时】20日受冷空气和大风影响，陕西大部分地区大气扩散条件较好。 ​		,陕西气象,//weibo.com/2513683302/G3WwL30Uo?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,64,		//@李仲伟律师://@用户5092626174：一次不公正的司法判决，其恶果甚于十次犯罪，因为犯罪只是弄脏了一支水流，而错误的司法判决则是污染了整个水源。——培根		,立武律师,//weibo.com/6422181736/G2vlb4yI2?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,65,	  【一名企业家的陨落，毁灭的不仅是个人小家，还连带着破碎了依附于该企业的千千万万职工的家！】#厦门东妮娅案# 江先路夫妻的命运，正是中国企业家命运的真实写照，若司法不公不被纠正、权力腐败不被扼制，未来将会有无数企业家、数不尽的职工重走他们的悲惨之路！#冤案申诉##民营企业家权益保护#  ​		...展开全文c,NA,//weibo.com/2101956932/G3Wwzeztb?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,66,		【坏习惯：过度美白】女性朋友都不重视肌肤的角质层，为了美白过多的去做一些化学脱皮疗程，让皮肤表面的角质层变薄。这样一来肌肤对光就越发的敏感。皮肤缺少了一些保护，水分自然流失的快，肌肤变得干燥，自然对紫外线及生#中国赞#活空气中的污染物过敏。 ​		,blue天空之蓝1187712383,//weibo.com/3626312413/G3Wwy5uD3?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,67,		【生态农业-绿色之路】导致植物病虫害的根本原因：目前农作物病虫害发生有加重趋势。引起农作物病虫害发生的根本原因就是环境污染，生态环境被破坏，导致自然平衡及生物链被打破，进而引发病虫害影响，但同时也有人为因素影响。简单说有一下几个方面:1，农药滥用乱用，病虫害抗药性增加，环境污染 ​			...展开全文c,孟红有,//weibo.com/2147559667/G3WwwzqNI?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,68,		【眼药水开瓶4周就得扔】眼药水的“保鲜期”只有4周。眼科医生提醒，眼药水包装上的保质期通常指未开封的状态，一旦开封使用，如4周内未用完，应立即丢弃。眼药水开封后，保存环境发生了改变，药效会逐渐减弱；在使用时药液还可能被空气中的微生物污染，带来健康隐患。 ​		,beebee毖慎,//weibo.com/6154328308/G3WvMtD8h?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,69,"		空气污染气象条件预报预计未来72小时全市空气污染气象条件较好。银川城区：  今天白天，空气污染气象条件二级,较有利于空气污染物稀释、扩散和清除；  今天夜间，空气污染气象条件二级,较有利于空气污染物稀释、扩散和清除；  21日白天到夜间，空气污染气象条件二级,较有利于空气污染物稀释 ​			...展开全文c",银川气象,//weibo.com/2259331480/G3WvKaFUN?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,70,		鞭炮噪音也是环境污染 ​		,爱壁纸爱头像,//weibo.com/5531698003/G3WvvjG4q?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,71,		【角质层过厚】白天出门，肌肤与室外环境亲密接触。汗水的侵蚀、附着在脸上的粉尘、环境的污染会加重毛孔的负担，同时角质也会变厚、加速老化。如果睡前没有得到彻底清理，不仅会导致整夜排油不畅，还会成为粉刺、暗疮滋生的温床。 ​		,凝恋郁葱畅,//weibo.com/6118257612/G3Wva6dVi?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,72,		【烤红薯的健康隐患】①二氧化硫污染，煤在燃烧过程中产生大量二氧化硫#中国赞#，从红薯的表皮进入内层中；②重金属污染，煤炭中的重金属可以通过煤炭燃烧随烟进入红薯，包括铜、汞、砷和铅等重金属；③其他污染物，如雾霾天气和汽车尾气的污染。 ​		,手机用户2080654595_314,//weibo.com/2080654595/G3Wv3yJmJ?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,73,		摩羯都是乖孩子，把自己隔离在没有污染的世界里。摩羯纯净得你想象不到，过着简单的生活。喜欢一个人是真的喜欢，可以喜欢很久很久，发现对方变得自己不认识了，摩羯会毫不犹豫的头也不回把自己从那段回忆中抽离出来。他们不是胆小鬼只是太会保护自己，太清醒了。 ​		,气愤善恶_42762,//weibo.com/6352813230/G3WuizOuA?refer_flag=1001030103_
污染; 2018-02-20; 1; 25,74,		//@每日速报:超时空要塞//@清狂Aling:卧槽//@妇女之友罗严塔://@卖美瞳的小仙女儿__:然后连续一周重度污染//@O_o秋魛魚o_O:超时空要塞//@追风少年淡:超时空要塞//@筱翼_Tsubasa://@安楽岡_花火:哇		,俏大媽的小丸子,//weibo.com/1928131031/G3qsiahCw?refer_flag=1001030103_
